               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.031452,            0.017332,           0.0077926,             0.67728,              0.5748,              0.6255,             0.38102,            0.033385,           0.0064026,            0.010402,           0.0066673,           0.0066673,           0.0066673
                  36,            0.030815,             0.01746,            0.009527,             0.65777,             0.59481,             0.62913,              0.3967,            0.032414,            0.006464,            0.010696,           0.0065693,           0.0065693,           0.0065693
                  37,            0.033196,            0.017287,           0.0089915,               0.625,             0.59082,             0.58948,             0.36708,            0.033765,           0.0064749,           0.0081732,           0.0064713,           0.0064713,           0.0064713
                  38,            0.033119,            0.017011,           0.0093116,             0.60887,             0.57739,             0.59887,              0.3703,            0.032379,           0.0067276,           0.0074502,           0.0063733,           0.0063733,           0.0063733
                  39,            0.031257,            0.017466,           0.0093236,             0.67367,             0.58852,              0.6146,              0.3618,            0.035201,           0.0066469,            0.010778,           0.0062752,           0.0062752,           0.0062752
                  40,            0.030701,            0.017325,            0.010369,             0.63342,             0.55449,             0.60432,               0.374,            0.033758,           0.0064732,           0.0076527,           0.0061772,           0.0061772,           0.0061772
                  41,            0.029185,            0.017216,            0.010282,             0.66573,             0.59447,             0.64263,             0.40394,            0.034593,            0.006682,           0.0085764,           0.0060792,           0.0060792,           0.0060792
                  42,            0.031391,              0.0173,           0.0096244,             0.55573,              0.6014,             0.59884,             0.37388,            0.034551,           0.0065796,            0.008823,           0.0059812,           0.0059812,           0.0059812
                  43,            0.030472,            0.016983,           0.0085338,              0.5902,             0.57115,             0.59181,             0.35921,            0.035385,           0.0067072,           0.0085098,           0.0058832,           0.0058832,           0.0058832
                  44,            0.032561,            0.017581,            0.008572,             0.65174,             0.62651,             0.63724,             0.39181,            0.034841,           0.0067002,            0.008311,           0.0057851,           0.0057851,           0.0057851
                  45,            0.031163,            0.017802,           0.0069802,             0.65821,             0.59711,             0.62516,             0.39249,            0.033793,           0.0065905,           0.0084866,           0.0056871,           0.0056871,           0.0056871
                  46,            0.028695,            0.017067,           0.0082325,              0.6799,             0.57266,             0.63565,              0.3985,            0.033027,           0.0065104,           0.0088488,           0.0055891,           0.0055891,           0.0055891
                  47,            0.028832,             0.01679,           0.0079131,             0.64162,             0.57009,              0.6183,             0.38135,            0.031839,           0.0068187,           0.0083569,           0.0054911,           0.0054911,           0.0054911
                  48,            0.028243,            0.016699,            0.007193,             0.59373,             0.60883,             0.60735,             0.37959,            0.033763,           0.0066224,           0.0087317,           0.0053931,           0.0053931,           0.0053931
                  49,            0.029309,            0.017031,           0.0075415,             0.60196,             0.61668,             0.60232,             0.38795,            0.034499,           0.0064783,           0.0089829,            0.005295,            0.005295,            0.005295
                  50,            0.028259,            0.017516,           0.0089226,             0.64388,             0.61682,             0.61039,              0.3979,            0.034763,           0.0067037,            0.010436,            0.005197,            0.005197,            0.005197
                  51,            0.028448,            0.016894,           0.0075249,             0.59409,             0.59466,             0.60066,             0.37636,             0.03336,           0.0065072,           0.0080515,            0.005099,            0.005099,            0.005099
                  52,            0.029723,            0.017216,           0.0083394,              0.6528,             0.58752,             0.61887,             0.40286,            0.034271,           0.0064635,           0.0084544,            0.005001,            0.005001,            0.005001
                  53,            0.029673,            0.016811,           0.0084051,             0.66689,             0.60514,             0.61906,             0.39141,            0.034294,           0.0067406,             0.01004,            0.004903,            0.004903,            0.004903
                  54,            0.028602,            0.016499,           0.0076126,             0.68215,             0.60322,             0.63327,             0.39951,            0.035111,           0.0065238,           0.0090493,            0.004805,            0.004805,            0.004805
                  55,            0.030242,            0.016613,           0.0072547,             0.64586,             0.57854,             0.61332,             0.39163,            0.034202,           0.0067589,           0.0095461,           0.0047069,           0.0047069,           0.0047069
                  56,            0.030934,            0.016799,            0.007173,             0.62856,             0.61927,              0.6318,             0.38678,            0.034096,           0.0064926,           0.0099946,           0.0046089,           0.0046089,           0.0046089
                  57,            0.029747,            0.016481,           0.0074707,             0.64987,             0.58009,             0.62019,             0.40486,            0.034295,           0.0065572,           0.0096161,           0.0045109,           0.0045109,           0.0045109
