               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.031438,            0.013812,           0.0047354,             0.63517,             0.62752,             0.65412,             0.28829,            0.044711,            0.010001,            0.022461,           0.0032059,           0.0032059,           0.0032059
                  37,            0.031029,            0.013764,           0.0044979,             0.72885,             0.63698,             0.70603,             0.33281,            0.043489,            0.010591,            0.017331,           0.0030118,           0.0030118,           0.0030118
                  38,            0.030266,            0.013351,           0.0043892,             0.69632,             0.63152,             0.68235,             0.32824,            0.043585,            0.010051,            0.019603,           0.0028176,           0.0028176,           0.0028176
                  39,            0.030203,            0.013294,           0.0040419,             0.69993,             0.61493,             0.65402,             0.31802,             0.04408,           0.0097893,            0.020326,           0.0026235,           0.0026235,           0.0026235
                  40,            0.029955,            0.012981,           0.0042632,             0.62907,             0.66258,             0.63601,             0.29502,            0.043662,           0.0095694,            0.020378,           0.0024294,           0.0024294,           0.0024294
                  41,            0.029274,            0.013081,            0.003753,              0.5908,             0.64334,              0.6413,              0.3125,            0.042831,            0.010043,            0.022078,           0.0022353,           0.0022353,           0.0022353
                  42,            0.029273,            0.013112,           0.0038912,             0.61741,             0.67746,             0.65829,             0.31827,            0.042152,           0.0095768,            0.019548,           0.0020412,           0.0020412,           0.0020412
                  43,            0.029287,            0.012709,           0.0037256,              0.6441,              0.5804,             0.62799,             0.29611,            0.044029,            0.010115,            0.021656,           0.0018471,           0.0018471,           0.0018471
                  44,            0.028372,             0.01299,           0.0038258,             0.60655,             0.67862,             0.63388,             0.30972,            0.043085,            0.010201,            0.022228,           0.0016529,           0.0016529,           0.0016529
                  45,            0.027891,            0.012664,           0.0036706,             0.62193,             0.70005,             0.67332,             0.30777,            0.043602,            0.010161,            0.022258,           0.0014588,           0.0014588,           0.0014588
                  46,            0.027303,             0.01231,           0.0032477,             0.65942,             0.60157,              0.6496,              0.3019,            0.042951,            0.010136,            0.023027,           0.0012647,           0.0012647,           0.0012647
                  47,            0.027102,            0.012646,           0.0036381,             0.72375,             0.62802,             0.67272,             0.32299,             0.04256,            0.010098,            0.021239,           0.0010706,           0.0010706,           0.0010706
                  48,            0.027044,            0.012244,           0.0032158,             0.60062,             0.64578,             0.63041,             0.31018,            0.042602,            0.010297,            0.021193,          0.00087647,          0.00087647,          0.00087647
                  49,            0.026864,            0.012383,           0.0033331,              0.5955,             0.63758,             0.64278,             0.31956,            0.041509,            0.010503,            0.021358,          0.00068235,          0.00068235,          0.00068235
                  50,            0.025971,            0.012183,             0.00296,             0.69858,             0.56913,             0.63619,             0.31823,            0.042138,            0.010424,            0.021444,          0.00048824,          0.00048824,          0.00048824
