               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.020178,            0.016256,            0.010047,             0.61756,             0.61947,             0.63427,             0.42721,            0.024664,           0.0057763,            0.017428,           0.0066673,           0.0066673,           0.0066673
                  36,            0.017022,            0.015652,             0.01016,             0.64642,             0.68215,             0.67585,             0.43044,            0.020133,           0.0055168,            0.015758,           0.0065693,           0.0065693,           0.0065693
                  37,            0.019643,            0.015528,            0.010669,             0.73868,             0.72448,             0.72888,             0.47343,            0.018406,           0.0054761,            0.014989,           0.0064713,           0.0064713,           0.0064713
                  38,            0.017791,             0.01516,            0.010353,              0.6945,             0.70434,             0.71499,             0.46528,            0.018852,           0.0055366,            0.015091,           0.0063733,           0.0063733,           0.0063733
                  39,            0.017294,            0.015714,           0.0094219,             0.68788,             0.69089,             0.71018,             0.45352,            0.018719,           0.0054608,            0.012766,           0.0062752,           0.0062752,           0.0062752
                  40,             0.01727,            0.015329,           0.0099454,             0.66448,             0.67584,             0.72044,             0.47146,             0.01805,           0.0054364,            0.014419,           0.0061772,           0.0061772,           0.0061772
                  41,            0.019107,            0.015872,            0.012419,              0.6683,             0.61964,              0.6559,             0.43733,             0.01942,           0.0053682,            0.015233,           0.0060792,           0.0060792,           0.0060792
                  42,            0.018154,            0.015876,            0.011326,             0.67046,             0.63673,             0.67017,             0.43209,            0.022294,           0.0055446,            0.011162,           0.0059812,           0.0059812,           0.0059812
                  43,            0.020613,            0.016419,             0.01228,             0.68743,             0.68164,             0.70979,             0.43873,             0.02151,           0.0055988,            0.015911,           0.0058832,           0.0058832,           0.0058832
                  44,            0.017743,            0.015377,            0.010445,             0.72558,             0.61614,             0.68749,             0.45108,              0.0225,           0.0054585,            0.016335,           0.0057851,           0.0057851,           0.0057851
                  45,            0.017524,            0.014019,           0.0090795,             0.71582,             0.73281,             0.75778,             0.49729,            0.022609,           0.0053778,            0.017566,           0.0056871,           0.0056871,           0.0056871
                  46,            0.014879,             0.01494,           0.0084999,             0.70109,             0.71127,              0.7288,             0.50024,            0.022812,            0.005446,            0.020764,           0.0055891,           0.0055891,           0.0055891
                  47,            0.016932,             0.01426,           0.0095425,             0.69838,             0.71717,             0.72929,             0.48427,            0.023331,           0.0054804,            0.012911,           0.0054911,           0.0054911,           0.0054911
                  48,            0.019245,            0.014957,           0.0093224,             0.76001,             0.65947,             0.72016,             0.46313,            0.025138,           0.0056031,            0.017795,           0.0053931,           0.0053931,           0.0053931
                  49,            0.018186,            0.014758,           0.0097451,             0.70298,             0.68271,             0.71146,             0.49579,              0.0196,           0.0056475,            0.017766,            0.005295,            0.005295,            0.005295
                  50,            0.017675,            0.014029,            0.010252,             0.73717,             0.70614,             0.77838,             0.53513,            0.023429,           0.0053224,            0.017833,            0.005197,            0.005197,            0.005197
                  51,            0.021126,            0.016185,           0.0098724,             0.69591,             0.72888,             0.75268,             0.51016,            0.021772,           0.0053521,             0.01379,            0.005099,            0.005099,            0.005099
                  52,            0.015824,             0.01504,           0.0093586,             0.75239,             0.68853,             0.77283,             0.52885,            0.021559,           0.0053944,            0.012304,            0.005001,            0.005001,            0.005001
                  53,              0.0173,            0.014967,            0.010344,             0.79049,             0.71419,             0.78945,             0.52335,            0.021735,           0.0055798,            0.015809,            0.004903,            0.004903,            0.004903
                  54,            0.015956,            0.015122,           0.0090484,             0.76591,             0.73432,             0.77913,             0.54767,            0.021833,           0.0055282,            0.014819,            0.004805,            0.004805,            0.004805
                  55,            0.015679,             0.01436,           0.0091519,             0.73435,             0.72955,             0.76603,             0.53204,            0.020026,           0.0056417,             0.01113,           0.0047069,           0.0047069,           0.0047069
                  56,            0.015725,            0.013963,            0.006979,             0.74415,             0.72395,             0.75513,             0.52721,            0.021295,           0.0056133,               0.011,           0.0046089,           0.0046089,           0.0046089
                  57,            0.016763,            0.015065,           0.0087035,             0.79458,             0.69261,             0.78217,             0.51553,            0.020006,           0.0054125,           0.0098979,           0.0045109,           0.0045109,           0.0045109
                  58,            0.018036,            0.014724,           0.0095703,             0.78886,             0.74408,             0.77299,             0.50541,            0.018666,           0.0054684,            0.014864,           0.0044129,           0.0044129,           0.0044129
                  59,            0.014673,             0.01388,           0.0077746,             0.80862,             0.68135,             0.77064,              0.5361,            0.018629,            0.005383,            0.009926,           0.0043149,           0.0043149,           0.0043149
                  60,            0.018659,            0.013927,           0.0096503,             0.79695,             0.72703,             0.76728,              0.5265,            0.019142,            0.005266,            0.008494,           0.0042168,           0.0042168,           0.0042168
                  61,            0.018303,            0.013573,           0.0071714,             0.72683,             0.69776,             0.72713,             0.51225,            0.018416,           0.0053743,           0.0089785,           0.0041188,           0.0041188,           0.0041188
                  62,            0.015183,            0.014022,           0.0084861,             0.73888,             0.69495,             0.76274,             0.52658,            0.018117,           0.0053691,            0.014037,           0.0040208,           0.0040208,           0.0040208
                  63,             0.01537,            0.014482,            0.009404,              0.7504,             0.65604,             0.74251,             0.48813,            0.018792,            0.005439,            0.011451,           0.0039228,           0.0039228,           0.0039228
                  64,            0.016226,            0.014125,           0.0093081,             0.78834,             0.67281,             0.76777,             0.50137,             0.02229,            0.005502,            0.010881,           0.0038248,           0.0038248,           0.0038248
                  65,            0.017383,            0.014257,           0.0072694,             0.72992,             0.71109,             0.77868,             0.50855,            0.022546,           0.0056126,            0.012364,           0.0037267,           0.0037267,           0.0037267
                  66,            0.014636,            0.014284,           0.0099845,             0.79021,             0.69109,             0.77835,             0.50623,            0.019896,           0.0055387,            0.012048,           0.0036287,           0.0036287,           0.0036287
                  67,            0.014367,            0.013803,           0.0078612,             0.70836,             0.73759,             0.75993,             0.51355,            0.018364,           0.0056087,            0.011087,           0.0035307,           0.0035307,           0.0035307
                  68,            0.015346,            0.014002,           0.0080731,             0.73194,             0.69566,             0.76038,             0.52017,            0.017303,           0.0055874,            0.012459,           0.0034327,           0.0034327,           0.0034327
                  69,            0.015415,            0.013576,           0.0079151,             0.77005,              0.6629,             0.75143,             0.50901,             0.01823,           0.0057373,            0.014425,           0.0033347,           0.0033347,           0.0033347
                  70,            0.015379,            0.014145,           0.0068877,             0.75992,             0.68937,             0.74873,             0.50567,            0.017705,           0.0055882,            0.013113,           0.0032366,           0.0032366,           0.0032366
                  71,            0.017135,            0.013827,            0.008547,             0.75708,             0.67604,             0.76138,             0.51478,            0.019007,           0.0054391,            0.010764,           0.0031386,           0.0031386,           0.0031386
                  72,            0.014921,            0.014187,           0.0074113,             0.76165,             0.67231,             0.76328,             0.52377,            0.020209,           0.0057044,            0.012573,           0.0030406,           0.0030406,           0.0030406
                  73,            0.018405,            0.013781,            0.008739,             0.71602,             0.72158,             0.71092,              0.4975,            0.018607,           0.0056612,            0.014425,           0.0029426,           0.0029426,           0.0029426
                  74,            0.012923,            0.013516,           0.0086152,             0.74034,             0.68785,             0.75004,              0.5333,            0.019209,           0.0056646,             0.01338,           0.0028446,           0.0028446,           0.0028446
                  75,             0.01591,            0.014004,           0.0079389,              0.7051,             0.72454,             0.76411,             0.52538,            0.019944,           0.0053548,            0.011387,           0.0027465,           0.0027465,           0.0027465
                  76,            0.015315,              0.0138,           0.0076075,             0.80113,             0.66805,             0.76309,             0.53316,            0.020796,           0.0054196,            0.012887,           0.0026485,           0.0026485,           0.0026485
