               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.021749,            0.016095,           0.0063746,             0.78468,             0.73488,              0.7893,              0.4672,            0.021028,           0.0047408,           0.0046916,           0.0066673,           0.0066673,           0.0066673
                  36,            0.020383,            0.015903,           0.0077494,             0.75042,               0.743,             0.74284,             0.45471,            0.020281,           0.0050149,           0.0050584,           0.0065693,           0.0065693,           0.0065693
                  37,            0.019389,            0.015959,            0.007023,             0.74031,             0.72947,             0.74433,              0.4463,             0.02086,           0.0049061,           0.0041795,           0.0064713,           0.0064713,           0.0064713
                  38,            0.020479,            0.016232,              0.0066,             0.83044,             0.73455,             0.77519,             0.45725,            0.021969,           0.0047489,           0.0036382,           0.0063733,           0.0063733,           0.0063733
                  39,            0.022416,            0.016055,           0.0066851,             0.78762,             0.78097,             0.80371,             0.49018,            0.021576,           0.0047517,           0.0038097,           0.0062752,           0.0062752,           0.0062752
                  40,            0.021397,            0.016304,           0.0079876,             0.80058,              0.7706,             0.77473,             0.42825,            0.022354,           0.0050384,            0.005579,           0.0061772,           0.0061772,           0.0061772
                  41,            0.018001,            0.015122,           0.0063162,             0.81571,             0.75954,             0.79142,             0.43502,            0.022366,            0.004918,            0.004155,           0.0060792,           0.0060792,           0.0060792
                  42,            0.019514,            0.015678,           0.0069623,             0.72526,             0.76888,             0.75569,             0.44205,            0.022352,           0.0049848,           0.0050034,           0.0059812,           0.0059812,           0.0059812
                  43,            0.022195,            0.015182,           0.0067078,             0.76542,             0.79175,             0.79941,             0.48382,            0.020799,           0.0049125,           0.0040003,           0.0058832,           0.0058832,           0.0058832
                  44,            0.018487,            0.015444,           0.0070724,             0.73631,             0.82285,             0.79685,             0.49234,            0.021331,            0.005201,           0.0044202,           0.0057851,           0.0057851,           0.0057851
                  45,            0.020687,            0.015669,           0.0081066,             0.78267,             0.78003,             0.81141,             0.47513,            0.021622,           0.0049674,           0.0046011,           0.0056871,           0.0056871,           0.0056871
                  46,            0.024334,            0.015775,           0.0077245,             0.81593,             0.78717,             0.81248,              0.4847,            0.020478,           0.0049352,           0.0041245,           0.0055891,           0.0055891,           0.0055891
