               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.013363,            0.011997,           0.0092926,             0.69417,             0.77234,             0.76864,             0.60383,           0.0055885,           0.0035881,           0.0062158,           0.0066673,           0.0066673,           0.0066673
                  36,            0.013481,            0.012345,           0.0090032,             0.66654,             0.83772,             0.80858,             0.62822,           0.0056399,           0.0036288,           0.0055734,           0.0065693,           0.0065693,           0.0065693
                  37,            0.014562,            0.011909,           0.0093564,             0.70398,             0.76647,             0.78804,             0.55983,           0.0064743,           0.0039455,           0.0057639,           0.0064713,           0.0064713,           0.0064713
                  38,            0.014563,            0.012485,           0.0094629,             0.76472,             0.76291,             0.79424,             0.60999,           0.0058912,           0.0036942,           0.0062335,           0.0063733,           0.0063733,           0.0063733
                  39,            0.013728,            0.012183,           0.0091309,             0.66911,             0.82675,             0.75925,             0.57221,           0.0057357,           0.0038763,           0.0061664,           0.0062752,           0.0062752,           0.0062752
                  40,            0.014852,            0.012276,           0.0088777,             0.72903,              0.8284,             0.82744,             0.63358,           0.0055414,           0.0034213,            0.005545,           0.0061772,           0.0061772,           0.0061772
                  41,            0.013917,            0.011939,           0.0088783,             0.76592,             0.76966,              0.8197,             0.62661,           0.0057752,           0.0035583,           0.0056244,           0.0060792,           0.0060792,           0.0060792
                  42,            0.013627,            0.011955,           0.0081775,             0.75343,             0.82425,              0.8276,              0.6393,           0.0056002,           0.0036705,           0.0054807,           0.0059812,           0.0059812,           0.0059812
                  43,            0.014953,            0.012221,           0.0084625,             0.76946,             0.82044,             0.82519,             0.63215,           0.0057566,            0.003699,           0.0053763,           0.0058832,           0.0058832,           0.0058832
                  44,            0.012798,            0.011924,           0.0068731,             0.77128,             0.74452,              0.7961,             0.60669,           0.0060025,           0.0038061,           0.0061157,           0.0057851,           0.0057851,           0.0057851
                  45,            0.013515,             0.01192,           0.0080161,             0.75533,             0.74791,             0.79895,             0.62308,           0.0059585,           0.0038748,           0.0057178,           0.0056871,           0.0056871,           0.0056871
